PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,AVG,TD,Season,Week
Orleans Darkwa,NYG,2.86,--,2.63,10,53,5.3,1,2016,3
Cameron Artis-Payne,CAR,4.05,8.33,2.91,12,47,3.9,0,2016,3
Terrance West,BAL,3.41,--,2.64,10,45,4.5,0,2016,3
Derrick Henry,TEN,3.88,40,2.51,10,45,4.5,0,2016,3
Jerick McKinnon,MIN,5.82,43.75,2.73,16,45,2.8,0,2016,3
Tevin Coleman,ATL,5.51,8.33,2.63,12,42,3.5,3,2016,3
Dwayne Washington,DET,5.36,30,3.13,10,38,3.8,0,2016,3
C.J. Anderson,DEN,5.35,14.29,2.97,14,37,2.6,0,2016,3
Latavius Murray,OAK,4.32,40,2.85,10,37,3.7,1,2016,3
Melvin Gordon,LAC,5.94,12.5,2.45,16,35,2.2,1,2016,3
Chris Ivory,JAX,12.87,8.33,3.33,12,14,1.2,0,2016,3
Theo Riddick,DET,14.51,10,2.75,10,9,0.9,0,2016,3
Le'Veon Bell,PIT,2.51,27.78,2.79,18,144,8,0,2016,4
Ezekiel Elliott,DAL,2.81,26.09,2.31,23,138,6,1,2016,4
Isaiah Crowell,CLE,2.62,62.5,2.75,16,120,7.5,1,2016,4
Matt Jones,WAS,3.82,40.91,3.15,22,117,5.3,1,2016,4
Terrance West,BAL,3.34,14.29,2.8,21,113,5.4,1,2016,4
Jordan Howard,CHI,3.96,4.35,2.7,23,111,4.8,0,2016,4
DeMarco Murray,TEN,4.59,40,3,25,95,3.8,2,2016,4
Jerick McKinnon,MIN,3.97,27.78,2.59,18,85,4.7,1,2016,4
David Johnson,ARI,3.72,29.41,2.7,17,83,4.9,0,2016,4
Spencer Ware,KC,3.11,--,2.87,13,82,6.3,0,2016,4
Lamar Miller,HOU,4.04,26.32,2.87,19,82,4.3,0,2016,4
Carlos Hyde,SF,3.93,13.33,2.65,15,74,4.9,1,2016,4
T.J. Yeldon,JAX,3.62,35.71,2.05,14,71,5.1,0,2016,4
Jeremy Hill,CIN,6.05,38.1,2.99,21,71,3.4,0,2016,4
LeSean McCoy,BUF,5.79,47.37,3.33,19,70,3.7,0,2016,4
Frank Gore,IND,3.64,37.5,2.11,16,68,4.3,1,2016,4
Christine Michael,SEA,5.72,27.78,2.64,18,58,3.2,0,2016,4
Devonta Freeman,ATL,4.08,23.08,2.59,13,57,4.4,1,2016,4
Mark Ingram,NO,5.19,5.56,2.47,18,56,3.1,1,2016,4
LeGarrette Blount,NE,4.06,30.77,2.71,13,54,4.2,0,2016,4
C.J. Anderson,DEN,5.59,21.05,2.46,19,49,2.6,1,2016,4
Orleans Darkwa,NYG,3.91,--,2.79,12,48,4,1,2016,4
Melvin Gordon,LAC,7.31,36.84,2.48,19,36,1.9,2,2016,4
Todd Gurley,LAR,7.08,52.63,2.57,19,33,1.7,0,2016,4
Theo Riddick,DET,5.49,--,2.89,11,31,2.8,0,2016,4
Charles Sims,TB,8.63,60,2.87,15,28,1.9,0,2016,4
